,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
92,$5 - 9.9 Mil,"Mark Tummillo, Sales Mgr.",10-49,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10061120&amp;certid=389701"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10061120&amp;certid=389701"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1978'},"Pro-Tech Metal Specialties, Inc.",http://www.ptechmetal.com/index.html,Finishing Service Company,,,,,,,,,,,,,
93,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1988'},"EIC Solutions, Inc.",https://www.eicsolutions.com/?utm_source=thomasnet&amp;utm_medium=paidprofile&amp;utm_content=thomasnet&amp;utm_campaign=thomasnet,,,,,,,,,,,,,,
94,$25 - 49.9 Mil,,100-199,,Not Available,Not Available,1978'},Easi-Set Buildings,https://precastbuildings.com/,,,,,,,,,,,,,,
95,$1 - 4.9 Mil,,10-49,,Not Available,Not Available,1989'},"Mier Products, Inc.",https://mierproducts.com/,,,,,,,,,,,,,,
96,$10 - 24.9 Mil,"Joe Reece, V.P. Sales</li><li>Kelly Reece, V.P. Operations</li><li>Mike Reece, Sales Person",10-49,Manufacturer,Not Available,Not Available,1972'},"California Vibratory Feeders, Inc.",https://www.californiavibratoryfeeders.co/,Custom Manufacturer,,,,,,,,,,,,,
97,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1976'},"Rapid Accu-Form, Inc.",http://www.rapidaccuform.com/index.html,"Manufacturer, Service Company",,,,,,,,,,,,,
98,$1 - 4.9 Mil,"Ronald Read, Pres.",10-49,Custom Manufacturer,Not Available,Not Available,1975'},"Read Manufacturing Co., Inc.",http://www.readmfg.com,"Manufacturer, Finishing Service Company",,,,,,,,,,,,,
99,Under $1 Mil,Not Available,50-99,Custom Manufacturer,Not Available,Not Available,1988'},"Cytek Manufacturing, Inc.",http://www.cytekmfg.com,"Manufacturer, Service Company",,,,,,,,,,,,,
100,$250 Mil. and over,,Not Available,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=26080358&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=30335290&amp;certid=451403"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=26080358&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=30335290&amp;certid=451403"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ITAR Registered</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Lean Manufacturing</td></tr>\n</tbody></table>",Not Available'},Quality Tool,https://www.qualitytool.com/,,,,,,,,,,,,,,
101,$1 - 4.9 Mil,"Chuck Gardenhire, V.P.",10-49,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=694434&amp;certid=338251"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=694434&amp;certid=338251"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1986'},"JLMC, Inc.",https://www.jlmc.com/,"Service Company, Turnkey Systems Integrator",,,,,,,,,,,,,
102,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2007'},Attabox LLC,https://attabox.com/,,,,,,,,,,,,,,
103,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1972'},"VIT Products, Inc.",http://www.vitproducts.com/,,,,,,,,,,,,,,
104,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1978'},Povolny Specialties Inc.,http://www.povolnyspecialties.com,,,,,,,,,,,,,,
105,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1969'},McGarvin Engineering Co.,http://www.mcgarvin.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
106,Not Available,,Not Available,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.vynckier.com/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.vynckier.com/"" data-cert_id=""284577"" data-cert_name=""FDA Registered"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1060988"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""26080358"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">FDA Registered</a></td></tr>\n</tbody></table>",Not Available'},"Vynckier Enclosure Systems, Inc.",https://www.vynckier.com/,,,,,,,,,,,,,,
107,$1 - 4.9 Mil,"Bill Zuber, Customer Services Mgr.",10-49,Custom Manufacturer,Not Available,Not Available,1957'},"Link-Burns Mfg. Co., Inc.",https://www.linkburns.com/,"Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
108,$5 - 9.9 Mil,Not Available,50-99,,Not Available,Not Available,1981'},Pacific Integrated Handling,http://www.pacificintegrated.com,,,,,,,,,,,,,,
109,$25 - 49.9 Mil,Not Available,100-199,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1166939&amp;certid=389258"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1166939&amp;certid=389258"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1166939&amp;certid=277312"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1166939&amp;certid=277312"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1926'},RAO Manufacturing Company,http://www.raomfg.com,"Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
110,$1 - 4.9 Mil,,10-49,,Not Available,Not Available,1999'},"Corson Fabricating, LLC",https://www.corsonfab.com/,,,,,,,,,,,,,,
111,$10 - 24.9 Mil,"Chad Exley, Sales Mgr.",10-49,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1159317&amp;certid=449096"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1159317&amp;certid=449096"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1159317&amp;certid=25967"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=26080358&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1159317&amp;certid=25967"" target=""_blank"">ISO 9001:2008</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_3rd_party.png"" title=""3rd Party Sourced"" alt=""3rd Party Sourced""></td><td><a href=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=800120425"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=800120425"" data-cert_id=""200085"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1159317"" data-conversion_action=""3rd Party Sourced Certification"" data-coverage_area=""NA"" data-heading=""26080358"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""3rd_Party_Sourced"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,1984'},"Sound Mfg., Inc.",http://soundmfg.com,"Service Company, Finishing Service Company",,,,,,,,,,,,,
112,$10 - 24.9 Mil,,50-99,,,Not Available,Not Available'},"Rollseal, Inc.",Failed,,,,,,,,,,,,,,
113,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1962'},Associated Enterprises,Failed,,Not Available,,,,,,,,,,,,
114,Not Available,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,1980'},Bakersfield Tank Co.,Failed,"Distributor, Manufacturer, Service Company, Finishing Service Company",Not Available,,,,,,,,,,,,
115,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1996'},G & C Enclosures,http://www.gcenclosures.com,Service Company,,,,,,,,,,,,,
116,$10 - 24.9 Mil,Not Available,50-99,Distributor,Not Available,Not Available,1961'},Normac Inc,http://www.normac1.com,,,,,,,,,,,,,,
117,Not Available,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},Universal Enclosure Systems,http://www.universalenclosures.com,,,,,,,,,,,,,,
118,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1952'},"Russ International, Inc.",http://www.russ-international.com,"Manufacturer, Service Company",,,,,,,,,,,,,
119,$250 Mil. and over,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1954'},Architectural Grille,http://www.archgrille.com,"Manufacturer, Finishing Service Company",,,,,,,,,,,,,
120,$10 - 24.9 Mil,Not Available,10-49,,Not Available,Not Available,1922'},Ewing Irrigation and Landscape Products,https://www.ewingirrigation.com/,,,,,,,,,,,,,,
121,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,1945'},"Ewing Irrigation & Industrial Plastics, Inc.",Failed,,Not Available,,,,,,,,,,,,
122,Not Available,,10-49,,,Not Available,1928'},"Layden, J. A. Co.",Failed,,,,,,,,,,,,,,
123,$10 - 24.9 Mil,"Joe Reece, V.P. Sales</li><li>Kelly Reece, V.P. Operations</li><li>Mike Reece, Sales Person",10-49,Manufacturer,Not Available,Not Available,1972'},"California Vibratory Feeders, Inc.",https://www.californiavibratoryfeeders.co/,Custom Manufacturer,,,,,,,,,,,,,
124,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},L&M Supply and Manufacturing,https://www.landmsupplyco.com/,,,,,,,,,,,,,,
125,$10 - 24.9 Mil,,50-99,,Not Available,Not Available,Not Available'},W.P. Law Inc.,http://www.wplawinc.com,,,,,,,,,,,,,,
126,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Rainmaker Pump Stations,http://www.rainmakerpumpstations.com/,,,,,,,,,,,,,,
127,Not Available,"Jim Hester, Owner and CEO",Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},"Highland Waterworks, Inc.",http://highlandwaterworks.com/,,,,,,,,,,,,,,
128,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1984'},Peterson Metal Products,https://www.pmpidaho.com/,Manufacturer,,,,,,,,,,,,,
129,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Irrigation Outlet LLC,http://www.irrigationoutlet.com/,,,,,,,,,,,,,,
130,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,1989'},American Pump,http://www.americanpumpco.com/,,,,,,,,,,,,,,
131,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,1999'},Alpha Advantage,http://alpha-advantage.com,Service Company,,,,,,,,,,,,,
132,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1949'},"Kalamazoo Electric Motor, Inc.",http://www.kalamazooelectricmotor.com,,,,,,,,,,,,,,
133,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,2012'},IVF International Corp.,http://www.ivfinternational.net,,,,,,,,,,,,,,
134,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Victoria Garden Sprinklers,https://www.victoriagardensprinklers.ca/,,,,,,,,,,,,,,
135,$1 - 4.9 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1991'},Ic Assemblies,http://www.icassemblies.com,,,,,,,,,,,,,,
136,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,2013'},Cove West,https://covewestusa.com/,"Manufacturer, Service Company",,,,,,,,,,,,,
137,Not Available,Not Available,50-99,Custom Manufacturer,Not Available,Not Available,1961'},Cove Four,https://covewestusa.com/,Manufacturer,,,,,,,,,,,,,
138,$25 - 49.9 Mil,Not Available,200-499,,Not Available,Not Available,1970'},"Nds, Inc.",https://www.ndspro.com/,,,,,,,,,,,,,,
139,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1948'},"Florida Pump Service, Inc.",http://www.floridapumpservice.com,Service Company,,,,,,,,,,,,,
140,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1990'},"Ductilic, Inc.",http://www.ductilic.com,"Distributor, Manufacturer",,,,,,,,,,,,,
141,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1974'},"Watermakers, Inc.",https://www.watermakers.com/,"Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
142,$1 - 4.9 Mil,"Reggie Bingham, Owner",1-9,Distributor,Not Available,Not Available,2017'},Dutch Direct,https://www.dutchdirect.us/,,,,,,,,,,,,,,
143,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Greenhouse Megastore,https://www.greenhousemegastore.com/,,,,,,,,,,,,,,
144,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2006'},Farmers Conservation Alliance,https://farmerscreen.org,,,,,,,,,,,,,,
145,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1974'},H I Solutions,http://www.hisolutions.net/,Manufacturer,,,,,,,,,,,,,
146,$10 - 24.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1988'},"King Innovation, Inc",https://www.kinginnovation.com/,,,,,,,,,,,,,,
147,Under $1 Mil,"Kim Martinez, Owner",10-49,Distributor,Not Available,Not Available,1978'},Basin Pump & Supply Co.,https://basinpump.com/,Service Company,,,,,,,,,,,,,
148,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1995'},H2O Applied Technologies,http://h2oappliedtech.com/,Service Company,,,,,,,,,,,,,
149,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2011'},Cobb Sales Co.,https://cobco.com/,Distributor,,,,,,,,,,,,,
150,$100 - 249.9 Mil,Not Available,200-499,Manufacturer,Not Available,Not Available,1982'},Diamond Plastics Corp.,http://www.dpcpipe.com/,,,,,,,,,,,,,,
151,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Meras Engineering, Inc.",https://www.meras.com/,,,,,,,,,,,,,,
152,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,2004'},Billings Irrigation,http://www.billingsirrigation.com,"Manufacturer, Service Company",,,,,,,,,,,,,
153,Not Available,"Joe Muphy, Marketing",Not Available,Distributor,Not Available,Not Available,Not Available'},Aquatech Dewatering and Pumping Technologies Inc.,http://aquatechpumping.com/,Service Company,,,,,,,,,,,,,
154,$10 - 24.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1948'},"Yardney Water Management Systems, Inc.",http://www.yardneyfilters.com,Manufacturer,,,,,,,,,,,,,
155,Not Available,"Brent Atterberry, Dir., Marketing",Not Available,Unknown,Not Available,Not Available,Not Available'},Precise Machine Works,https://precisemachineworks.com/,Manufacturer,,,,,,,,,,,,,
156,$50 - 99.9 Mil,,100-199,,Not Available,Not Available,1882'},Mitchell Lewis & Staver Co.,http://www.mitchellewis.com,,,,,,,,,,,,,,
157,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},"Green Saver, Inc.",http://www.greensaverwater.com,,,,,,,,,,,,,,
158,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1958'},Stang Industries Inc.,https://www.stangindustries.com/,"Distributor, Custom Manufacturer, Service Company",,,,,,,,,,,,,
159,$25 - 49.9 Mil,,50-99,,Not Available,Not Available,1979'},"Green Leaf, Inc.",https://green-leaf.us/,,,,,,,,,,,,,,
160,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Nature Unlimited LLC,http://www.nature-unlimited.com/,,,,,,,,,,,,,,
161,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1970'},Big John MFG,http://www.bigjohnmfg.com,,,,,,,,,,,,,,
162,Not Available,,Not Available,,,,Not Available'},Schneider Electric,https://www.se.com/us/en/,,,,,,,,,,,,,,
163,Not Available,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,Not Available'},Landscape by Hiro,https://www.landscapebyhiro.com,,,,,,,,,,,,,,
164,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1977'},"Hydra-Tech Pumps, Inc.",http://hydra-tech.com/,,,,,,,,,,,,,,
165,$1 - 4.9 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2007'},"Advanced Mechanical Technologies, Inc",http://www.amechtech.com,,,,,,,,,,,,,,
166,$50 - 99.9 Mil,Not Available,200-499,Manufacturer,Not Available,Not Available,1971'},"R&R Products, Inc",http://www.rrproducts.com,,,,,,,,,,,,,,
167,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Northgate Technologies, Inc.",https://www.northgate-tech.com/,,,,,,,,,,,,,,
168,$250 Mil. and over,"Robert Bachman, Dir., Sales</li><li>Wil Conner, Dir., Sales &amp; Marketing",10-49,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420258"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420258"" target=""_blank"">IATF 16949:2016</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420253"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420253"" target=""_blank"">ISO 14001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=343417"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=7794&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=343417"" target=""_blank"">ISO/TS 16949:2009</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kurz-kasch.com/company/quality/?L=1"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kurz-kasch.com/company/quality/?L=1"" data-cert_id=""269715"" data-cert_name=""ISO 9001:2000"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""113111"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""7794"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2000</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kurz-kasch.com/company/quality/?L=1"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kurz-kasch.com/company/quality/?L=1"" data-cert_id=""269718"" data-cert_name=""C-TPAT"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""113111"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""7794"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">C-TPAT</a></td></tr>\n</tbody></table>",1916'},Kurz-Kasch Inc.,http://www.kurz-kasch.com,,,,,,,,,,,,,,
